Request Index,Meal Tag Input,Execution Mode,Cache Status (HIT/MISS),Prompt Tokens,Completion Tokens,Total Tokens,LLM Inference Cost ($),AWS Egress Fee ($),Total Transaction Cost ($),Carbon Footprint (g CO2e),AWS Hosting Grid Region,File Size (KB),S3 Expiration TTL (Days),AI Identified Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),AI Nutrition Breakdown / Explanation
57,Steak,Control,MISS,489,191,680,9.397e-05,4.65e-06,9.862e-05,747.08,us-east-1,54.16,Infinite,Meal (Hot pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Hot pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
58,Pasta,Control,MISS,511,192,703,9.592e-05,4.7e-06,0.00010062000000000001,750.1912,us-east-1,54.78,Infinite,Meal (Acorn squash),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Acorn squash)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
59,Sandwich,Control,MISS,487,208,695,9.893e-05,3.47e-06,0.00010240000000000001,715.5875,us-east-1,40.45,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
60,Sushi,Control,MISS,477,187,664,9.187e-05,3.3e-06,9.517e-05,708.5575,us-east-1,38.42,Infinite,Meal (Burrito),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Burrito)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
61,Soup,Control,MISS,499,207,706,9.952e-05,4.11e-06,0.00010363,734.0888,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
62,Taco,Control,MISS,477,183,660,9.067e-05,4.54e-06,9.520999999999999e-05,742.5912,us-east-1,52.87,Infinite,Meal (Wok),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Wok)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
63,Rice,Control,MISS,512,188,700,9.48e-05,4.11e-06,9.891e-05,733.6612,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
64,Salmon,Control,MISS,480,180,660,9e-05,1.96e-06,9.196000000000001e-05,671.2462,us-east-1,22.83,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
65,Cheese,Control,MISS,480,192,672,9.36e-05,2.73e-06,9.633e-05,693.2862,us-east-1,31.75,Infinite,Meal (Palace),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Palace)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
66,Fries,Control,MISS,486,184,670,9.165e-05,4.43e-06,9.608e-05,740.1925,us-east-1,51.56,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
67,Cookie,Control,MISS,478,208,686,9.825e-05,6.24e-06,0.00010449,791.4212,us-east-1,72.65,Infinite,Meal (Dough),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Dough)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
68,Cake,Control,MISS,490,205,695,9.825e-05,3.15e-06,0.0001014,706.7525,us-east-1,36.73,Infinite,Scrambled Eggs (2 eggs),140,12,1,10,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Scrambled Eggs (2 eggs)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 1g
- Fats: 10g

Detailed Assessment: Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter."
69,Banana,Control,MISS,495,209,704,9.983e-05,1.46e-06,0.00010129,660.6775,us-east-1,17.06,Infinite,Medium Banana,105,1.3,27,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Medium Banana"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 1.3g
- Carbs: 27g
- Fats: 0.3g

Detailed Assessment: One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
70,Orange,Control,MISS,481,219,700,0.00010177,2.95e-06,0.00010472,701.385,us-east-1,34.32,Infinite,Meal (Orange),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Orange)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
71,Grapes,Control,MISS,496,219,715,0.0001029,3.82e-06,0.00010672,726.5362,us-east-1,44.46,Infinite,Fresh Apple,95,0.5,25,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Fresh Apple"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 0.5g
- Carbs: 25g
- Fats: 0.3g

Detailed Assessment: A standard medium-sized raw apple with skin, high in fiber and vitamin C."
72,Strawberry,Control,MISS,492,189,681,9.36e-05,4.99e-06,9.859e-05,756.4612,us-east-1,58.08,Infinite,Meal (Strawberry),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Strawberry)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
73,Broccoli,Control,MISS,488,212,700,0.0001002,3.24e-06,0.00010344,709.4125,us-east-1,37.7,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
74,Carrot,Control,MISS,503,196,699,9.652e-05,4.11e-06,0.00010063,733.59,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
75,Tomato,Control,MISS,482,203,685,9.705e-05,2.45e-06,9.95e-05,686.7312,us-east-1,28.6,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
76,Apple,Control,MISS,491,214,705,0.00010103,4.11e-06,0.00010514,734.0175,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
77,Pizza,Control,MISS,472,195,667,9.39e-05,4.11e-06,9.801e-05,731.3813,us-east-1,47.94,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
78,Salad,Control,MISS,488,185,673,9.21e-05,3.82e-06,9.592e-05,723.7337,us-east-1,44.54,Infinite,Meal (Pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
79,Burger,Control,MISS,510,191,701,9.555e-05,2.36e-06,9.791e-05,685.235,us-east-1,27.49,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
80,Eggs,Control,MISS,493,208,701,9.937e-05,9.6e-07,0.00010033000000000001,646.4987,us-east-1,11.18,Infinite,Meal (Ping-pong ball),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Ping-pong ball)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
81,Chicken,Control,MISS,509,184,693,9.338e-05,5.6e-06,9.898e-05,774.3212,us-east-1,65.24,Infinite,Meal (Handkerchief),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Handkerchief)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
82,Steak,Control,MISS,500,192,692,9.51e-05,4.65e-06,9.975e-05,747.935,us-east-1,54.16,Infinite,Meal (Hot pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Hot pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
83,Pasta,Control,MISS,487,210,697,9.952e-05,4.7e-06,0.00010422,749.7637,us-east-1,54.78,Infinite,Meal (Acorn squash),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Acorn squash)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
84,Sandwich,Control,MISS,465,182,647,8.947e-05,3.47e-06,9.294e-05,712.1675,us-east-1,40.45,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
85,Sushi,Control,MISS,486,219,705,0.00010215,3.3e-06,0.00010545,711.4787,us-east-1,38.42,Infinite,Meal (Burrito),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Burrito)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
86,Soup,Control,MISS,484,215,699,0.0001008,4.11e-06,0.00010491,733.59,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
87,Taco,Control,MISS,471,217,688,0.00010042,4.54e-06,0.00010496,744.5862,us-east-1,52.87,Infinite,Meal (Wok),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Wok)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
88,Rice,Control,MISS,505,186,691,9.367e-05,4.11e-06,9.778e-05,733.02,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
89,Salmon,Control,MISS,473,208,681,9.788e-05,1.96e-06,9.984e-05,672.7425,us-east-1,22.83,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
90,Cheese,Control,MISS,495,182,677,9.172e-05,2.73e-06,9.444999999999999e-05,693.6425,us-east-1,31.75,Infinite,Meal (Palace),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Palace)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
91,Fries,Control,MISS,483,206,689,9.802e-05,4.43e-06,0.00010245,741.5462,us-east-1,51.56,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
92,Cookie,Control,MISS,468,216,684,9.99e-05,6.24e-06,0.00010614,791.2787,us-east-1,72.65,Infinite,Meal (Dough),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Dough)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
93,Cake,Control,MISS,480,209,689,9.87e-05,3.15e-06,0.00010185,706.325,us-east-1,36.73,Infinite,Scrambled Eggs (2 eggs),140,12,1,10,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Scrambled Eggs (2 eggs)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 1g
- Fats: 10g

Detailed Assessment: Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter."
94,Banana,Control,MISS,477,205,682,9.727e-05,1.46e-06,9.873e-05,659.11,us-east-1,17.06,Infinite,Medium Banana,105,1.3,27,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Medium Banana"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 1.3g
- Carbs: 27g
- Fats: 0.3g

Detailed Assessment: One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
95,Orange,Control,MISS,474,199,673,9.525e-05,2.95e-06,9.82e-05,699.4613,us-east-1,34.32,Infinite,Meal (Orange),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Orange)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
96,Grapes,Control,MISS,480,215,695,0.0001005,3.82e-06,0.00010432,725.1112,us-east-1,44.46,Infinite,Fresh Apple,95,0.5,25,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Fresh Apple"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 0.5g
- Carbs: 25g
- Fats: 0.3g

Detailed Assessment: A standard medium-sized raw apple with skin, high in fiber and vitamin C."
97,Strawberry,Control,MISS,509,199,708,9.788e-05,4.99e-06,0.00010287000000000001,758.385,us-east-1,58.08,Infinite,Meal (Strawberry),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Strawberry)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
98,Broccoli,Control,MISS,484,187,671,9.24e-05,3.24e-06,9.564e-05,707.3462,us-east-1,37.7,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
99,Carrot,Control,MISS,490,200,690,9.675e-05,4.11e-06,0.00010085999999999999,732.9488,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
100,Tomato,Control,MISS,496,207,703,9.93e-05,2.45e-06,0.00010175,688.0137,us-east-1,28.6,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
101,Apple,Experimental,MISS,92,49,141,2.16e-05,2.86e-06,2.446e-05,6.7542,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
102,Pizza,Experimental,MISS,86,37,123,1.755e-05,2.95e-06,2.05e-05,6.7418,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
103,Salad,Experimental,MISS,86,45,131,1.995e-05,2.72e-06,2.267e-05,6.6586,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
104,Burger,Experimental,MISS,84,44,128,1.95e-05,1.5e-06,2.1e-05,6.0836,eu-west-1,17.49,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
105,Eggs,Experimental,MISS,93,48,141,2.137e-05,3e-07,2.167e-05,5.563,eu-west-1,3.5,7,Meal (Ping-pong ball),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
106,Chicken,Experimental,MISS,92,37,129,1.8e-05,3.54e-06,2.154e-05,7.0378,eu-west-1,41.27,7,Meal (Handkerchief),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
107,Steak,Experimental,MISS,84,41,125,1.86e-05,3.56e-06,2.216e-05,7.033,eu-west-1,41.45,7,Meal (Hot pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
108,Pasta,Experimental,MISS,85,46,131,2.017e-05,3.11e-06,2.3279999999999997e-05,6.8438,eu-west-1,36.27,7,Meal (Acorn squash),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
109,Sandwich,Experimental,MISS,83,44,127,1.942e-05,2.37e-06,2.179e-05,6.487,eu-west-1,27.65,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
110,Sushi,Experimental,MISS,81,35,116,1.657e-05,2.11e-06,1.8679999999999997e-05,6.3312,eu-west-1,24.58,7,Meal (Burrito),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
111,Soup,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
112,Taco,Experimental,MISS,86,42,128,1.905e-05,2.75e-06,2.1799999999999998e-05,6.6664,eu-west-1,32.06,7,Meal (Wok),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
113,Rice,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
114,Salmon,Experimental,MISS,79,41,120,1.822e-05,1.03e-06,1.9249999999999997e-05,5.8384,eu-west-1,11.96,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
115,Cheese,Experimental,MISS,83,49,132,2.092e-05,1.77e-06,2.269e-05,6.2212,eu-west-1,20.63,7,Meal (Palace),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
116,Fries,Experimental,MISS,85,48,133,2.078e-05,2.58e-06,2.336e-05,6.6026,eu-west-1,30.09,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
117,Cookie,Experimental,MISS,81,37,118,1.717e-05,4.37e-06,2.154e-05,7.3924,eu-west-1,50.96,7,Meal (Dough),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
118,Cake,Experimental,MISS,80,40,120,1.8e-05,2.44e-06,2.044e-05,6.4948,eu-west-1,28.37,7,Scrambled Eggs (2 eggs),140,12,1,10,Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter.
119,Banana,Experimental,MISS,81,41,122,1.837e-05,6.2e-07,1.899e-05,5.6528,eu-west-1,7.17,7,Medium Banana,105,1.3,27,0.3,"One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
120,Orange,Experimental,MISS,88,42,130,1.92e-05,1.42e-06,2.062e-05,6.0512,eu-west-1,16.53,7,Meal (Orange),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
121,Grapes,Experimental,MISS,89,38,127,1.807e-05,2.58e-06,2.065e-05,6.5854,eu-west-1,30.11,7,Fresh Apple,95,0.5,25,0.3,"A standard medium-sized raw apple with skin, high in fiber and vitamin C."
122,Strawberry,Experimental,MISS,89,35,124,1.717e-05,3.91e-06,2.108e-05,7.1944,eu-west-1,45.56,7,Meal (Strawberry),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
123,Broccoli,Experimental,MISS,83,35,118,1.672e-05,2.5e-06,1.922e-05,6.5184,eu-west-1,29.11,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
124,Carrot,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
125,Tomato,Experimental,MISS,82,38,120,1.755e-05,1.2e-06,1.875e-05,5.9172,eu-west-1,13.93,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
126,Apple,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
127,Pizza,Experimental,HIT,0,0,0,0,2.95e-06,2.95e-06,0.002,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
128,Salad,Experimental,HIT,0,0,0,0,2.72e-06,2.72e-06,0.002,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
